Census_Region,Census_Region_Code,Ten_Year_Age_Groups,Gender,Gender_Code,Year,Year_Code,Deaths,Population,Crude_Rate
Census Region 1: Northeast,CENS-R1,1-4 years,Female,F,2010,2010,71,1267495,5.6
Census Region 1: Northeast,CENS-R1,1-4 years,Female,F,2011,2011,66,1254687,5.3
Census Region 1: Northeast,CENS-R1,1-4 years,Female,F,2012,2012,60,1251615,4.8
Census Region 1: Northeast,CENS-R1,1-4 years,Female,F,2013,2013,78,1249292,6.2
Census Region 1: Northeast,CENS-R1,1-4 years,Female,F,2014,2014,66,1254180,5.3
Census Region 1: Northeast,CENS-R1,1-4 years,Female,F,2015,2015,57,1252678,4.6
Census Region 1: Northeast,CENS-R1,1-4 years,Female,F,2016,2016,76,1236251,6.1
Census Region 1: Northeast,CENS-R1,1-4 years,Female,F,2017,2017,54,1235790,4.4
Census Region 1: Northeast,CENS-R1,1-4 years,Female,F,2018,2018,58,1224428,4.7
Census Region 1: Northeast,CENS-R1,1-4 years,Female,F,2019,2019,60,1213760,4.9
Census Region 1: Northeast,CENS-R1,1-4 years,Female,F,2020,2020,62,1199288,5.2
Census Region 1: Northeast,CENS-R1,1-4 years,Male,M,1999,1999,137,1405005,9.8
Census Region 1: Northeast,CENS-R1,1-4 years,Male,M,2000,2000,135,1398115,9.7
Census Region 1: Northeast,CENS-R1,1-4 years,Male,M,2001,2001,148,1371406,10.8
Census Region 1: Northeast,CENS-R1,1-4 years,Male,M,2002,2002,133,1368328,9.7
Census Region 1: Northeast,CENS-R1,1-4 years,Male,M,2003,2003,126,1363097,9.2
Census Region 1: Northeast,CENS-R1,1-4 years,Male,M,2004,2004,122,1359322,9
Census Region 1: Northeast,CENS-R1,1-4 years,Male,M,2005,2005,119,1352140,8.8
Census Region 1: Northeast,CENS-R1,1-4 years,Male,M,2006,2006,89,1333300,6.7
Census Region 1: Northeast,CENS-R1,1-4 years,Male,M,2007,2007,136,1322929,10.3
Census Region 1: Northeast,CENS-R1,1-4 years,Male,M,2008,2008,116,1322109,8.8
Census Region 1: Northeast,CENS-R1,1-4 years,Male,M,2009,2009,87,1322874,6.6
Census Region 1: Northeast,CENS-R1,1-4 years,Male,M,2010,2010,114,1325849,8.6
Census Region 1: Northeast,CENS-R1,1-4 years,Male,M,2011,2011,108,1310814,8.2
Census Region 1: Northeast,CENS-R1,1-4 years,Male,M,2012,2012,119,1308771,9.1
Census Region 1: Northeast,CENS-R1,1-4 years,Male,M,2013,2013,114,1306333,8.7
Census Region 1: Northeast,CENS-R1,1-4 years,Male,M,2014,2014,88,1310052,6.7
Census Region 1: Northeast,CENS-R1,1-4 years,Male,M,2015,2015,85,1309429,6.5
Census Region 1: Northeast,CENS-R1,1-4 years,Male,M,2016,2016,83,1291577,6.4
Census Region 1: Northeast,CENS-R1,1-4 years,Male,M,2017,2017,86,1293407,6.6
Census Region 1: Northeast,CENS-R1,1-4 years,Male,M,2018,2018,85,1282922,6.6
Census Region 1: Northeast,CENS-R1,1-4 years,Male,M,2019,2019,86,1271948,6.8
Census Region 1: Northeast,CENS-R1,1-4 years,Male,M,2020,2020,89,1255336,7.1
Census Region 1: Northeast,CENS-R1,5-14 years,Female,F,1999,1999,159,3641769,4.4
Census Region 1: Northeast,CENS-R1,5-14 years,Female,F,2000,2000,143,3659944,3.9
Census Region 1: Northeast,CENS-R1,5-14 years,Female,F,2001,2001,135,3654226,3.7
Census Region 1: Northeast,CENS-R1,5-14 years,Female,F,2002,2002,129,3635290,3.5
Census Region 1: Northeast,CENS-R1,5-14 years,Female,F,2003,2003,139,3600618,3.9
Census Region 1: Northeast,CENS-R1,5-14 years,Female,F,2004,2004,143,3549394,4
Census Region 1: Northeast,CENS-R1,5-14 years,Female,F,2005,2005,126,3482979,3.6
Census Region 1: Northeast,CENS-R1,5-14 years,Female,F,2006,2006,111,3436214,3.2
Census Region 1: Northeast,CENS-R1,5-14 years,Female,F,2007,2007,119,3392472,3.5
Census Region 1: Northeast,CENS-R1,5-14 years,Female,F,2008,2008,107,3366397,3.2
Census Region 1: Northeast,CENS-R1,5-14 years,Female,F,2009,2009,98,3354449,2.9
Census Region 1: Northeast,CENS-R1,5-14 years,Female,F,2010,2010,81,3343054,2.4
Census Region 1: Northeast,CENS-R1,5-14 years,Female,F,2011,2011,93,3310705,2.8
Census Region 1: Northeast,CENS-R1,5-14 years,Female,F,2012,2012,95,3294916,2.9
Census Region 1: Northeast,CENS-R1,5-14 years,Female,F,2013,2013,97,3273297,3
Census Region 1: Northeast,CENS-R1,5-14 years,Female,F,2014,2014,79,3249211,2.4
Census Region 1: Northeast,CENS-R1,5-14 years,Female,F,2015,2015,97,3222045,3
Census Region 1: Northeast,CENS-R1,5-14 years,Female,F,2016,2016,101,3205510,3.2
Census Region 1: Northeast,CENS-R1,5-14 years,Female,F,2017,2017,87,3187158,2.7
Census Region 1: Northeast,CENS-R1,5-14 years,Female,F,2018,2018,89,3153952,2.8
Census Region 1: Northeast,CENS-R1,5-14 years,Female,F,2019,2019,102,3128696,3.3
Census Region 1: Northeast,CENS-R1,5-14 years,Female,F,2020,2020,93,3111806,3
Census Region 1: Northeast,CENS-R1,5-14 years,Male,M,1999,1999,303,3826706,7.9
Census Region 1: Northeast,CENS-R1,5-14 years,Male,M,2000,2000,271,3845924,7
Census Region 1: Northeast,CENS-R1,5-14 years,Male,M,2001,2001,274,3837272,7.1
Census Region 1: Northeast,CENS-R1,5-14 years,Male,M,2002,2002,261,3817086,6.8
Census Region 1: Northeast,CENS-R1,5-14 years,Male,M,2003,2003,227,3779291,6
Census Region 1: Northeast,CENS-R1,5-14 years,Male,M,2004,2004,243,3725362,6.5
Census Region 1: Northeast,CENS-R1,5-14 years,Male,M,2005,2005,210,3652766,5.7
Census Region 1: Northeast,CENS-R1,5-14 years,Male,M,2006,2006,205,3599778,5.7
Census Region 1: Northeast,CENS-R1,5-14 years,Male,M,2007,2007,202,3554006,5.7
Census Region 1: Northeast,CENS-R1,5-14 years,Male,M,2008,2008,196,3523287,5.6
Census Region 1: Northeast,CENS-R1,5-14 years,Male,M,2009,2009,165,3507765,4.7
Census Region 1: Northeast,CENS-R1,5-14 years,Male,M,2010,2010,170,3495424,4.9
Census Region 1: Northeast,CENS-R1,5-14 years,Male,M,2011,2011,161,3461452,4.7
Census Region 1: Northeast,CENS-R1,5-14 years,Male,M,2012,2012,174,3446167,5
Census Region 1: Northeast,CENS-R1,5-14 years,Male,M,2013,2013,153,3423665,4.5
Census Region 1: Northeast,CENS-R1,5-14 years,Male,M,2014,2014,155,3396369,4.6
Census Region 1: Northeast,CENS-R1,5-14 years,Male,M,2015,2015,120,3365058,3.6
Census Region 1: Northeast,CENS-R1,5-14 years,Male,M,2016,2016,180,3348780,5.4
Census Region 1: Northeast,CENS-R1,5-14 years,Male,M,2017,2017,170,3328472,5.1
Census Region 1: Northeast,CENS-R1,5-14 years,Male,M,2018,2018,169,3294326,5.1
Census Region 1: Northeast,CENS-R1,5-14 years,Male,M,2019,2019,173,3270115,5.3
Census Region 1: Northeast,CENS-R1,5-14 years,Male,M,2020,2020,153,3253485,4.7
Census Region 1: Northeast,CENS-R1,15-24 years,Female,F,1999,1999,705,3369688,20.9
Census Region 1: Northeast,CENS-R1,15-24 years,Female,F,2000,2000,592,3405526,17.4
Census Region 1: Northeast,CENS-R1,15-24 years,Female,F,2001,2001,676,3474377,19.5
Census Region 1: Northeast,CENS-R1,15-24 years,Female,F,2002,2002,725,3521268,20.6
Census Region 1: Northeast,CENS-R1,15-24 years,Female,F,2003,2003,667,3568531,18.7
Census Region 1: Northeast,CENS-R1,15-24 years,Female,F,2004,2004,682,3609427,18.9
Census Region 1: Northeast,CENS-R1,15-24 years,Female,F,2005,2005,776,3654777,21.2
Census Region 1: Northeast,CENS-R1,15-24 years,Female,F,2006,2006,678,3696845,18.3
Census Region 1: Northeast,CENS-R1,15-24 years,Female,F,2007,2007,716,3731156,19.2
Census Region 1: Northeast,CENS-R1,15-24 years,Female,F,2008,2008,649,3752835,17.3
Census Region 1: Northeast,CENS-R1,15-24 years,Female,F,2009,2009,630,3777409,16.7
Census Region 1: Northeast,CENS-R1,15-24 years,Female,F,2010,2010,660,3784679,17.4
Census Region 1: Northeast,CENS-R1,15-24 years,Female,F,2011,2011,675,3765012,17.9
Census Region 1: Northeast,CENS-R1,15-24 years,Female,F,2012,2012,706,3763286,18.8
Census Region 1: Northeast,CENS-R1,15-24 years,Female,F,2013,2013,692,3739687,18.5
Census Region 1: Northeast,CENS-R1,15-24 years,Female,F,2014,2014,623,3735762,16.7
Census Region 1: Northeast,CENS-R1,15-24 years,Female,F,2015,2015,726,3709484,19.6
Census Region 1: Northeast,CENS-R1,15-24 years,Female,F,2016,2016,830,3671743,22.6
Census Region 1: Northeast,CENS-R1,15-24 years,Female,F,2017,2017,816,3638965,22.4
Census Region 1: Northeast,CENS-R1,15-24 years,Female,F,2018,2018,749,3564988,21
Census Region 1: Northeast,CENS-R1,15-24 years,Female,F,2019,2019,701,3512974,20
Census Region 1: Northeast,CENS-R1,15-24 years,Female,F,2020,2020,681,3466175,19.6
Census Region 1: Northeast,CENS-R1,15-24 years,Male,M,1999,1999,2446,3465227,70.6
Census Region 1: Northeast,CENS-R1,15-24 years,Male,M,2000,2000,2485,3498383,71
Census Region 1: Northeast,CENS-R1,15-24 years,Male,M,2001,2001,2730,3580675,76.2
Census Region 1: Northeast,CENS-R1,15-24 years,Male,M,2002,2002,2710,3640312,74.4
Census Region 1: Northeast,CENS-R1,15-24 years,Male,M,2003,2003,2798,3701723,75.6
Census Region 1: Northeast,CENS-R1,15-24 years,Male,M,2004,2004,2706,3747247,72.2
Census Region 1: Northeast,CENS-R1,15-24 years,Male,M,2005,2005,2821,3804375,74.2
Census Region 1: Northeast,CENS-R1,15-24 years,Male,M,2006,2006,2974,3850004,77.2
Census Region 1: Northeast,CENS-R1,15-24 years,Male,M,2007,2007,2763,3880433,71.2
Census Region 1: Northeast,CENS-R1,15-24 years,Male,M,2008,2008,2604,3904471,66.7
Census Region 1: Northeast,CENS-R1,15-24 years,Male,M,2009,2009,2380,3923106,60.7
Census Region 1: Northeast,CENS-R1,15-24 years,Male,M,2010,2010,2647,3926437,67.4
Census Region 1: Northeast,CENS-R1,15-24 years,Male,M,2011,2011,2699,3911652,69
Census Region 1: Northeast,CENS-R1,15-24 years,Male,M,2012,2012,2623,3906199,67.1
Census Region 1: Northeast,CENS-R1,15-24 years,Male,M,2013,2013,2465,3873196,63.6
Census Region 1: Northeast,CENS-R1,15-24 years,Male,M,2014,2014,2440,3858041,63.2
Census Region 1: Northeast,CENS-R1,15-24 years,Male,M,2015,2015,2560,3822993,67
Census Region 1: Northeast,CENS-R1,15-24 years,Male,M,2016,2016,2774,3788807,73.2
Census Region 1: Northeast,CENS-R1,15-24 years,Male,M,2017,2017,2749,3746170,73.4
Census Region 1: Northeast,CENS-R1,15-24 years,Male,M,2018,2018,2273,3658077,62.1
Census Region 1: Northeast,CENS-R1,15-24 years,Male,M,2019,2019,2068,3600276,57.4
Census Region 1: Northeast,CENS-R1,15-24 years,Male,M,2020,2020,2514,3548569,70.8
Census Region 1: Northeast,CENS-R1,25-34 years,Female,F,1999,1999,651,3825868,17
Census Region 1: Northeast,CENS-R1,25-34 years,Female,F,2000,2000,613,3752937,16.3
Census Region 1: Northeast,CENS-R1,25-34 years,Female,F,2001,2001,668,3666927,18.2
Census Region 1: Northeast,CENS-R1,25-34 years,Female,F,2002,2002,679,3618978,18.8
Census Region 1: Northeast,CENS-R1,25-34 years,Female,F,2003,2003,682,3579653,19.1
Census Region 1: Northeast,CENS-R1,25-34 years,Female,F,2004,2004,657,3535454,18.6
Census Region 1: Northeast,CENS-R1,25-34 years,Female,F,2005,2005,667,3481943,19.2
Census Region 1: Northeast,CENS-R1,25-34 years,Female,F,2006,2006,681,3443015,19.8
Census Region 1: Northeast,CENS-R1,25-34 years,Female,F,2007,2007,716,3437663,20.8
Census Region 1: Northeast,CENS-R1,25-34 years,Female,F,2008,2008,700,3472949,20.2
Census Region 1: Northeast,CENS-R1,25-34 years,Female,F,2009,2009,684,3514160,19.5
Census Region 1: Northeast,CENS-R1,25-34 years,Female,F,2010,2010,757,3542636,21.4
Census Region 1: Northeast,CENS-R1,25-34 years,Female,F,2011,2011,891,3601821,24.7
Census Region 1: Northeast,CENS-R1,25-34 years,Female,F,2012,2012,882,3654985,24.1
Census Region 1: Northeast,CENS-R1,25-34 years,Female,F,2013,2013,973,3706938,26.2
Census Region 1: Northeast,CENS-R1,25-34 years,Female,F,2014,2014,1068,3754674,28.4
Census Region 1: Northeast,CENS-R1,25-34 years,Female,F,2015,2015,1184,3787526,31.3
Census Region 1: Northeast,CENS-R1,25-34 years,Female,F,2016,2016,1562,3800746,41.1
Census Region 1: Northeast,CENS-R1,25-34 years,Female,F,2017,2017,1652,3843275,43
Census Region 1: Northeast,CENS-R1,25-34 years,Female,F,2018,2018,1624,3821266,42.5
Census Region 1: Northeast,CENS-R1,25-34 years,Female,F,2019,2019,1574,3820958,41.2
Census Region 1: Northeast,CENS-R1,25-34 years,Female,F,2020,2020,1641,3807804,43.1
Census Region 1: Northeast,CENS-R1,25-34 years,Male,M,1999,1999,2610,3732733,69.9
Census Region 1: Northeast,CENS-R1,25-34 years,Male,M,2000,2000,2541,3664912,69.3
Census Region 1: Northeast,CENS-R1,25-34 years,Male,M,2001,2001,2650,3581629,74
Census Region 1: Northeast,CENS-R1,25-34 years,Male,M,2002,2002,2612,3540708,73.8
Census Region 1: Northeast,CENS-R1,25-34 years,Male,M,2003,2003,2611,3504923,74.5
Census Region 1: Northeast,CENS-R1,25-34 years,Male,M,2004,2004,2480,3461427,71.6
Census Region 1: Northeast,CENS-R1,25-34 years,Male,M,2005,2005,2621,3410885,76.8
Census Region 1: Northeast,CENS-R1,25-34 years,Male,M,2006,2006,2897,3376091,85.8
Census Region 1: Northeast,CENS-R1,25-34 years,Male,M,2007,2007,2752,3379005,81.4
Census Region 1: Northeast,CENS-R1,25-34 years,Male,M,2008,2008,2771,3418095,81.1
Census Region 1: Northeast,CENS-R1,25-34 years,Male,M,2009,2009,2615,3459182,75.6
Census Region 1: Northeast,CENS-R1,25-34 years,Male,M,2010,2010,2828,3488819,81.1
Census Region 1: Northeast,CENS-R1,25-34 years,Male,M,2011,2011,3114,3571610,87.2
Census Region 1: Northeast,CENS-R1,25-34 years,Male,M,2012,2012,3257,3638462,89.5
Census Region 1: Northeast,CENS-R1,25-34 years,Male,M,2013,2013,3326,3710638,89.6
Census Region 1: Northeast,CENS-R1,25-34 years,Male,M,2014,2014,3534,3770291,93.7
Census Region 1: Northeast,CENS-R1,25-34 years,Male,M,2015,2015,4245,3819767,111.1
Census Region 1: Northeast,CENS-R1,25-34 years,Male,M,2016,2016,5238,3857566,135.8
Census Region 1: Northeast,CENS-R1,25-34 years,Male,M,2017,2017,5640,3911393,144.2
Census Region 1: Northeast,CENS-R1,25-34 years,Male,M,2018,2018,5258,3902512,134.7
Census Region 1: Northeast,CENS-R1,25-34 years,Male,M,2019,2019,4949,3908835,126.6
Census Region 1: Northeast,CENS-R1,25-34 years,Male,M,2020,2020,5585,3900549,143.2
Census Region 1: Northeast,CENS-R1,35-44 years,Female,F,1999,1999,1019,4471904,22.8
Census Region 1: Northeast,CENS-R1,35-44 years,Female,F,2000,2000,998,4474834,22.3
Census Region 1: Northeast,CENS-R1,35-44 years,Female,F,2001,2001,1099,4458109,24.7
Census Region 1: Northeast,CENS-R1,35-44 years,Female,F,2002,2002,1066,4411363,24.2
Census Region 1: Northeast,CENS-R1,35-44 years,Female,F,2003,2003,1077,4351463,24.8
Census Region 1: Northeast,CENS-R1,35-44 years,Female,F,2004,2004,981,4281713,22.9
Census Region 1: Northeast,CENS-R1,35-44 years,Female,F,2005,2005,1087,4212192,25.8
Census Region 1: Northeast,CENS-R1,35-44 years,Female,F,2006,2006,1094,4141242,26.4
Census Region 1: Northeast,CENS-R1,35-44 years,Female,F,2007,2007,1049,4049841,25.9
Census Region 1: Northeast,CENS-R1,35-44 years,Female,F,2008,2008,981,3950560,24.8
Census Region 1: Northeast,CENS-R1,35-44 years,Female,F,2009,2009,937,3840698,24.4
Census Region 1: Northeast,CENS-R1,35-44 years,Female,F,2010,2010,979,3768430,26
Census Region 1: Northeast,CENS-R1,35-44 years,Female,F,2011,2011,964,3675513,26.2
Census Region 1: Northeast,CENS-R1,35-44 years,Female,F,2012,2012,948,3622836,26.2
Census Region 1: Northeast,CENS-R1,35-44 years,Female,F,2013,2013,1044,3570783,29.2
Census Region 1: Northeast,CENS-R1,35-44 years,Female,F,2014,2014,1106,3542518,31.2
Census Region 1: Northeast,CENS-R1,35-44 years,Female,F,2015,2015,1136,3512798,32.3
Census Region 1: Northeast,CENS-R1,35-44 years,Female,F,2016,2016,1377,3461744,39.8
Census Region 1: Northeast,CENS-R1,35-44 years,Female,F,2017,2017,1552,3468225,44.7
Census Region 1: Northeast,CENS-R1,35-44 years,Female,F,2018,2018,1441,3453393,41.7
Census Region 1: Northeast,CENS-R1,35-44 years,Female,F,2019,2019,1439,3463552,41.5
Census Region 1: Northeast,CENS-R1,35-44 years,Female,F,2020,2020,1816,3483659,52.1
Census Region 1: Northeast,CENS-R1,35-44 years,Male,M,1999,1999,2991,4330292,69.1
Census Region 1: Northeast,CENS-R1,35-44 years,Male,M,2000,2000,3038,4333048,70.1
Census Region 1: Northeast,CENS-R1,35-44 years,Male,M,2001,2001,3163,4314659,73.3
Census Region 1: Northeast,CENS-R1,35-44 years,Male,M,2002,2002,3195,4266444,74.9
Census Region 1: Northeast,CENS-R1,35-44 years,Male,M,2003,2003,3097,4203881,73.7
Census Region 1: Northeast,CENS-R1,35-44 years,Male,M,2004,2004,2995,4135936,72.4
Census Region 1: Northeast,CENS-R1,35-44 years,Male,M,2005,2005,2950,4067775,72.5
Census Region 1: Northeast,CENS-R1,35-44 years,Male,M,2006,2006,3189,3995976,79.8
Census Region 1: Northeast,CENS-R1,35-44 years,Male,M,2007,2007,2998,3907984,76.7
Census Region 1: Northeast,CENS-R1,35-44 years,Male,M,2008,2008,2928,3811255,76.8
Census Region 1: Northeast,CENS-R1,35-44 years,Male,M,2009,2009,2570,3704667,69.4
Census Region 1: Northeast,CENS-R1,35-44 years,Male,M,2010,2010,2625,3632913,72.3
Census Region 1: Northeast,CENS-R1,35-44 years,Male,M,2011,2011,2770,3553299,78
Census Region 1: Northeast,CENS-R1,35-44 years,Male,M,2012,2012,2812,3509724,80.1
Census Region 1: Northeast,CENS-R1,35-44 years,Male,M,2013,2013,2754,3469969,79.4
Census Region 1: Northeast,CENS-R1,35-44 years,Male,M,2014,2014,2783,3439790,80.9
Census Region 1: Northeast,CENS-R1,35-44 years,Male,M,2015,2015,3335,3414112,97.7
Census Region 1: Northeast,CENS-R1,35-44 years,Male,M,2016,2016,4005,3371597,118.8
Census Region 1: Northeast,CENS-R1,35-44 years,Male,M,2017,2017,4465,3386488,131.8
Census Region 1: Northeast,CENS-R1,35-44 years,Male,M,2018,2018,4446,3382148,131.5
Census Region 1: Northeast,CENS-R1,35-44 years,Male,M,2019,2019,4440,3400532,130.6
Census Region 1: Northeast,CENS-R1,35-44 years,Male,M,2020,2020,5137,3429227,149.8
Census Region 1: Northeast,CENS-R1,45-54 years,Female,F,1999,1999,700,3701596,18.9
Census Region 1: Northeast,CENS-R1,45-54 years,Female,F,2000,2000,747,3794812,19.7
Census Region 1: Northeast,CENS-R1,45-54 years,Female,F,2001,2001,869,3937276,22.1
Census Region 1: Northeast,CENS-R1,45-54 years,Female,F,2002,2002,917,3969883,23.1
Census Region 1: Northeast,CENS-R1,45-54 years,Female,F,2003,2003,988,4031051,24.5
Census Region 1: Northeast,CENS-R1,45-54 years,Female,F,2004,2004,993,4093996,24.3
Census Region 1: Northeast,CENS-R1,45-54 years,Female,F,2005,2005,1071,4154704,25.8
Census Region 1: Northeast,CENS-R1,45-54 years,Female,F,2006,2006,1190,4212381,28.3
Census Region 1: Northeast,CENS-R1,45-54 years,Female,F,2007,2007,1293,4258397,30.4
Census Region 1: Northeast,CENS-R1,45-54 years,Female,F,2008,2008,1352,4297554,31.5
Census Region 1: Northeast,CENS-R1,45-54 years,Female,F,2009,2009,1279,4337383,29.5
Census Region 1: Northeast,CENS-R1,45-54 years,Female,F,2010,2010,1342,4348826,30.9
Census Region 1: Northeast,CENS-R1,45-54 years,Female,F,2011,2011,1449,4316393,33.6
Census Region 1: Northeast,CENS-R1,45-54 years,Female,F,2012,2012,1462,4270197,34.2
Census Region 1: Northeast,CENS-R1,45-54 years,Female,F,2013,2013,1522,4211811,36.1
Census Region 1: Northeast,CENS-R1,45-54 years,Female,F,2014,2014,1551,4155773,37.3
Census Region 1: Northeast,CENS-R1,45-54 years,Female,F,2015,2015,1661,4099174,40.5
Census Region 1: Northeast,CENS-R1,45-54 years,Female,F,2016,2016,1818,4018247,45.2
Census Region 1: Northeast,CENS-R1,45-54 years,Female,F,2017,2017,1793,3944282,45.5
Census Region 1: Northeast,CENS-R1,45-54 years,Female,F,2018,2018,1684,3814710,44.1
Census Region 1: Northeast,CENS-R1,45-54 years,Female,F,2019,2019,1629,3694050,44.1
Census Region 1: Northeast,CENS-R1,45-54 years,Female,F,2020,2020,1665,3593268,46.3
Census Region 1: Northeast,CENS-R1,45-54 years,Male,M,1999,1999,2172,3494484,62.2
Census Region 1: Northeast,CENS-R1,45-54 years,Male,M,2000,2000,2266,3588491,63.1
Census Region 1: Northeast,CENS-R1,45-54 years,Male,M,2001,2001,2512,3729725,67.4
Census Region 1: Northeast,CENS-R1,45-54 years,Male,M,2002,2002,2505,3764464,66.5
Census Region 1: Northeast,CENS-R1,45-54 years,Male,M,2003,2003,2733,3828219,71.4
Census Region 1: Northeast,CENS-R1,45-54 years,Male,M,2004,2004,2728,3894100,70.1
Census Region 1: Northeast,CENS-R1,45-54 years,Male,M,2005,2005,2917,3959056,73.7
Census Region 1: Northeast,CENS-R1,45-54 years,Male,M,2006,2006,3261,4018117,81.2
Census Region 1: Northeast,CENS-R1,45-54 years,Male,M,2007,2007,3242,4063024,79.8
Census Region 1: Northeast,CENS-R1,45-54 years,Male,M,2008,2008,3393,4102008,82.7
Census Region 1: Northeast,CENS-R1,45-54 years,Male,M,2009,2009,3234,4136525,78.2
Census Region 1: Northeast,CENS-R1,45-54 years,Male,M,2010,2010,3362,4146986,81.1
Census Region 1: Northeast,CENS-R1,45-54 years,Male,M,2011,2011,3595,4118376,87.3
Census Region 1: Northeast,CENS-R1,45-54 years,Male,M,2012,2012,3585,4074460,88
Census Region 1: Northeast,CENS-R1,45-54 years,Male,M,2013,2013,3616,4018090,90
