sex,year,last_letter,cases,pct
F,1885,n,4690,3.532025455
F,1885,o,84,0.063260157
F,1885,p,0,0
F,1885,q,0,0
F,1885,r,782,0.588921941
F,1885,s,2063,1.553639342
F,1885,t,2878,2.167413488
F,1885,u,495,0.37278307
F,1885,v,0,0
F,1885,w,0,0
F,1885,x,0,0
F,1885,y,13908,10.47407463
F,1885,z,150,0.112964567
F,1886,a,49100,34.04308426
F,1886,b,0,0
F,1886,c,0,0
F,1886,d,988,0.685021736
F,1886,e,53846,37.33368463
F,1886,f,0,0
F,1886,g,18,0.012480153
F,1886,h,7138,4.949074042
F,1886,i,85,0.058934056
F,1886,j,0,0
F,1886,k,5,0.003466709
F,1886,l,5709,3.958288555
F,1886,m,68,0.047147245
F,1886,n,5189,3.597750799
F,1886,o,93,0.064480791
F,1886,p,0,0
F,1886,q,0,0
F,1886,r,898,0.622620971
F,1886,s,2456,1.702847555
F,1886,t,3001,2.080718857
F,1886,u,511,0.354297679
F,1886,v,0,0
F,1886,w,0,0
F,1886,x,0,0
F,1886,y,14922,10.34604691
F,1886,z,202,0.140055051
F,1887,a,48942,33.59462947
F,1887,b,0,0
F,1887,c,0,0
F,1887,d,1000,0.686417177
F,1887,e,54313,37.28137613
F,1887,f,0,0
F,1887,g,25,0.017160429
F,1887,h,7128,4.892781637
F,1887,i,105,0.072073804
F,1887,j,0,0
F,1887,k,0,0
F,1887,l,6168,4.233821147
F,1887,m,46,0.03157519
F,1887,n,5456,3.745092117
F,1887,o,97,0.066582466
F,1887,p,0,0
F,1887,q,0,0
F,1887,r,901,0.618461876
F,1887,s,2737,1.878723813
F,1887,t,3132,2.149858598
F,1887,u,476,0.326734576
F,1887,v,0,0
F,1887,w,0,0
F,1887,x,0,0
F,1887,y,14970,10.27566514
F,1887,z,188,0.129046429
F,1888,a,59442,33.34118597
F,1888,b,0,0
F,1888,c,0,0
F,1888,d,1281,0.718516524
F,1888,e,66714,37.42007135
F,1888,f,0,0
F,1888,g,44,0.024679724
F,1888,h,8612,4.830495165
F,1888,i,141,0.079087299
F,1888,j,0,0
F,1888,k,0,0
F,1888,l,7890,4.425523322
F,1888,m,81,0.045433129
F,1888,n,6781,3.803482085
F,1888,o,134,0.075160979
F,1888,p,0,0
F,1888,q,0,0
F,1888,r,1194,0.669717978
F,1888,s,3488,1.956429068
F,1888,t,3797,2.129748042
F,1888,u,541,0.303448431
F,1888,v,0,0
F,1888,w,0,0
F,1888,x,0,0
F,1888,y,17906,10.04352606
F,1888,z,238,0.133494873
F,1889,a,58631,32.93062389
F,1889,b,0,0
F,1889,c,0,0
F,1889,d,1357,0.762171149
F,1889,e,66621,37.41827863
F,1889,f,0,0
F,1889,g,28,0.01572645
F,1889,h,8819,4.953269978
F,1889,i,134,0.075262295
F,1889,j,0,0
F,1889,k,0,0
F,1889,l,8389,4.711756644
F,1889,m,91,0.051110961
F,1889,n,7043,3.955763744
F,1889,o,142,0.079755566
F,1889,p,0,0
F,1889,q,0,0
F,1889,r,1196,0.671744063
F,1889,s,3494,1.962436252
F,1889,t,3770,2.117454112
F,1889,u,469,0.263418031
F,1889,v,0,0
F,1889,w,0,0
F,1889,x,0,0
F,1889,y,17583,9.875648716
F,1889,z,277,0.15557952
F,1890,a,62313,32.7913108
F,1890,b,0,0
F,1890,c,0,0
F,1890,d,1420,0.747254366
F,1890,e,70911,37.31588337
F,1890,f,0,0
F,1890,g,41,0.021575654
F,1890,h,9103,4.790321477
F,1890,i,162,0.085250146
F,1890,j,0,0
F,1890,k,0,0
F,1890,l,9281,4.883991391
F,1890,m,114,0.059990844
F,1890,n,7869,4.140946908
F,1890,o,159,0.08367144
F,1890,p,0,0
F,1890,q,0,0
F,1890,r,1372,0.721995064
F,1890,s,3797,1.998116077
F,1890,t,4046,2.129148709
F,1890,u,496,0.261012793
F,1890,v,0,0
F,1890,w,5,0.002631177
F,1890,x,5,0.002631177
F,1890,y,18628,9.802714323
F,1890,z,307,0.161554289
F,1891,a,60582,32.71466603
F,1891,b,0,0
F,1891,c,0,0
F,1891,d,1506,0.813249596
F,1891,e,67727,36.57301156
F,1891,f,0,0
F,1891,g,54,0.029160344
F,1891,h,9588,5.177581095
F,1891,i,166,0.089641058
F,1891,j,0,0
F,1891,k,7,0.003780045
F,1891,l,9202,4.969138636
F,1891,m,105,0.056700669
F,1891,n,8072,4.358931435
F,1891,o,191,0.103141217
F,1891,p,0,0
F,1891,q,0,0
F,1891,r,1407,0.759788966
F,1891,s,3912,2.112504928
F,1891,t,3979,2.148685354
F,1891,u,430,0.23220274
F,1891,v,0,0
F,1891,w,0,0
F,1891,x,0,0
F,1891,y,17987,9.713094615
F,1891,z,268,0.144721708
F,1892,a,68331,32.23190785
F,1892,b,0,0
F,1892,c,0,0
F,1892,d,1754,0.827366296
F,1892,e,77146,36.38996594
F,1892,f,0,0
F,1892,g,37,0.017452995
F,1892,h,11929,5.626939877
F,1892,i,183,0.086321569
F,1892,j,0,0
F,1892,k,0,0
F,1892,l,10655,5.025990811
F,1892,m,109,0.051415579
F,1892,n,9536,4.498155643
F,1892,o,201,0.094812215
F,1892,p,0,0
F,1892,q,0,0
F,1892,r,1661,0.783497958
F,1892,s,4820,2.273606355
F,1892,t,4454,2.100963217
F,1892,u,462,0.217926584
F,1892,v,0,0
F,1892,w,0,0
F,1892,x,5,0.002358513
F,1892,y,20368,9.607637808
F,1892,z,347,0.163680789
F,1893,a,67821,31.90570502
F,1893,b,0,0
F,1893,c,0,0
F,1893,d,1799,0.846321395
F,1893,e,76430,35.9557222
F,1893,f,0,0
F,1893,g,34,0.015994957
F,1893,h,12116,5.69984993
F,1893,i,235,0.110553378
F,1893,j,0,0
F,1893,k,0,0
F,1893,l,10920,5.137203799
F,1893,m,126,0.059275428
F,1893,n,10123,4.762263192
F,1893,o,207,0.097381061
F,1893,p,0,0
F,1893,q,0,0
F,1893,r,2255,1.060841993
F,1893,s,4992,2.348436023
F,1893,t,4642,2.183782055
F,1893,u,446,0.209816199
F,1893,v,0,0
F,1893,w,0,0
F,1893,x,6,0.002822639
F,1893,y,20082,9.44737424
F,1893,z,333,0.156656489
F,1894,a,70631,31.73200471
F,1894,b,0,0
F,1894,c,0,0
F,1894,d,1972,0.8859497
F,1894,e,79901,35.89668712
F,1894,f,0,0
F,1894,g,40,0.017970582
F,1894,h,12122,5.445984923
F,1894,i,242,0.108722022
F,1894,j,0,0
F,1894,k,0,0
F,1894,l,11312,5.082080634
F,1894,m,177,0.079519826
F,1894,n,10998,4.941011564
F,1894,o,224,0.10063526
F,1894,p,0,0
F,1894,q,0,0
F,1894,r,2558,1.149218729
F,1894,s,5643,2.535199878
F,1894,t,4812,2.161861033
F,1894,u,396,0.177908763
F,1894,v,0,0
F,1894,w,6,0.002695587
F,1894,x,6,0.002695587
F,1894,y,21180,9.515423252
F,1894,z,366,0.164430827
F,1895,a,73002,31.30029885
F,1895,b,0,0
F,1895,c,0,0
F,1895,d,2234,0.957848656
F,1895,e,83829,35.94247763
F,1895,f,0,0
F,1895,g,41,0.017579138
F,1895,h,12790,5.483833624
F,1895,i,283,0.12133893
F,1895,j,0,0
F,1895,k,0,0
F,1895,l,12009,5.148972478
F,1895,m,207,0.08875321
F,1895,n,12218,5.238583207
F,1895,o,252,0.108047386
F,1895,p,0,0
F,1895,q,0,0
F,1895,r,2856,1.224537047
F,1895,s,5927,2.54125738
F,1895,t,5098,2.185815779
F,1895,u,390,0.167216193
F,1895,v,0,0
F,1895,w,0,0
F,1895,x,6,0.002572557
F,1895,y,21667,9.289931441
F,1895,z,422,0.180936496
F,1896,a,73584,30.97269517
F,1896,b,0,0
F,1896,c,5,0.002104581
F,1896,d,2345,0.98704841
F,1896,e,84316,35.48996746
F,1896,f,0,0
F,1896,g,52,0.021887641
F,1896,h,12888,5.424767549
F,1896,i,323,0.135955922
F,1896,j,0,0
F,1896,k,0,0
F,1896,l,12281,5.169271436
F,1896,m,194,0.081657736
F,1896,n,13109,5.517790022
F,1896,o,292,0.122907521
F,1896,p,6,0.002525497
F,1896,q,0,0
F,1896,r,2976,1.25264651
F,1896,s,6760,2.845393283
F,1896,t,5299,2.230434764
F,1896,u,358,0.150687987
F,1896,v,0,0
F,1896,w,0,0
F,1896,x,6,0.002525497
F,1896,y,22366,9.414210972
F,1896,z,417,0.175522041
F,1897,a,72148,30.8494854
F,1897,b,0,0
F,1897,c,0,0
F,1897,d,2430,1.039034339
F,1897,e,82757,35.38574684
F,1897,f,0,0
F,1897,g,34,0.014537929
F,1897,h,12642,5.405544082
F,1897,i,277,0.118441363
F,1897,j,0,0
F,1897,k,0,0
F,1897,l,11974,5.119916535
F,1897,m,221,0.094496539
F,1897,n,13240,5.661240598
F,1897,o,278,0.118868949
F,1897,p,0,0
F,1897,q,0,0
F,1897,r,2988,1.27762741
F,1897,s,6803,2.908868564
F,1897,t,5403,2.310247957
F,1897,u,313,0.133834464
F,1897,v,0,0
F,1897,w,0,0
F,1897,x,0,0
F,1897,y,21967,9.392784911
F,1897,z,396,0.169324115
F,1898,a,79150,30.63044934
F,1898,b,0,0
F,1898,c,0,0
F,1898,d,2925,1.131952802
F,1898,e,91100,35.25500865
F,1898,f,0,0
F,1898,g,66,0.025541499
F,1898,h,13700,5.301796032
F,1898,i,323,0.124998549
F,1898,j,0,0
F,1898,k,0,0
F,1898,l,13082,5.062634722
F,1898,m,198,0.076624497
F,1898,n,15289,5.916726973
F,1898,o,282,0.10913186
F,1898,p,0,0
F,1898,q,0,0
F,1898,r,3248,1.256951351
F,1898,s,7954,3.078137638
F,1898,t,6107,2.363362654
F,1898,u,377,0.145896139
F,1898,v,0,0
F,1898,w,7,0.002708947
F,1898,x,0,0
F,1898,y,24111,9.330774024
F,1898,z,484,0.187304327
F,1899,a,70712,30.38592601
F,1899,b,0,0
F,1899,c,0,0
F,1899,d,3009,1.293008985
F,1899,e,81362,34.96237855
F,1899,f,0,0
F,1899,g,37,0.015899413
F,1899,h,12422,5.337905489
F,1899,i,313,0.134500436
F,1899,j,0,0
F,1899,k,0,0
F,1899,l,11591,4.980813276
F,1899,m,201,0.086372485
F,1899,n,14096,6.05724648
F,1899,o,247,0.106139322
F,1899,p,0,0
F,1899,q,0,0
F,1899,r,2890,1.241873037
F,1899,s,7541,3.24047217
F,1899,t,5521,2.372450185
F,1899,u,316,0.135789578
F,1899,v,0,0
F,1899,w,0,0
F,1899,x,6,0.002578283
F,1899,y,22005,9.455853347
F,1899,z,444,0.190792951
F,1900,a,89934,30.03286002
F,1900,b,0,0
F,1900,c,0,0
F,1900,d,3646,1.217557405
F,1900,e,107034,35.74329108
F,1900,f,0,0
F,1900,g,33,0.01102013
F,1900,h,15289,5.105659672
F,1900,i,360,0.120219601
F,1900,j,0,0
F,1900,k,0,0
F,1900,l,14628,4.884923126
F,1900,m,263,0.087827097
F,1900,n,18208,6.080440271
F,1900,o,348,0.116212281
F,1900,p,0,0
F,1900,q,0,0
F,1900,r,3597,1.201194181
F,1900,s,9354,3.12370597
F,1900,t,6941,2.317900699
F,1900,u,350,0.116880168
F,1900,v,0,0
F,1900,w,6,0.00200366
F,1900,x,0,0
F,1900,y,28851,9.634599201
F,1900,z,610,0.203705435
F,1901,a,72186,30.19715623
F,1901,b,0,0
F,1901,c,0,0
F,1901,d,3138,1.31270158
F,1901,e,83196,34.80290652
F,1901,f,0,0
F,1901,g,39,0.016314647
F,1901,h,12483,5.221941945
F,1901,i,306,0.128007229
F,1901,j,0,0
F,1901,k,0,0
F,1901,l,11947,4.997720133
F,1901,m,233,0.097469556
F,1901,n,14755,6.172374701
F,1901,o,273,0.114202528
F,1901,p,0,0
F,1901,q,0,0
F,1901,r,3099,1.296386933
F,1901,s,8077,3.378805182
F,1901,t,5884,2.461420044
F,1901,u,237,0.099142854
F,1901,v,0,0
F,1901,w,5,0.002091621
F,1901,x,0,0
F,1901,y,22705,9.4980527
F,1901,z,486,0.203305598
F,1902,a,77816,29.50190699
F,1902,b,0,0
F,1902,c,0,0
F,1902,d,3475,1.317455624
F,1902,e,92611,35.1110454
F,1902,f,0,0
F,1902,g,41,0.015544081
F,1902,h,13641,5.171629399
F,1902,i,400,0.151649568
F,1902,j,0,0
F,1902,k,0,0
F,1902,l,13070,4.95514964
F,1902,m,243,0.092127113
F,1902,n,16760,6.354116907
F,1902,o,364,0.138001107
F,1902,p,0,0
F,1902,q,0,0
F,1902,r,3283,1.244663831
F,1902,s,9130,3.461401394
F,1902,t,6554,2.484778175
F,1902,u,282,0.106912946
F,1902,v,0,0
F,1902,w,12,0.004549487
F,1902,x,0,0
F,1902,y,25554,9.688132663
F,1902,z,530,0.200935678
F,1903,a,77130,29.47549441
F,1903,b,0,0
F,1903,c,0,0
F,1903,d,3828,1.462883348
F,1903,e,90630,34.63456578
F,1903,f,0,0
F,1903,g,42,0.016050444
F,1903,h,13682,5.228623292
F,1903,i,425,0.16241521
F,1903,j,0,0
F,1903,k,0,0
F,1903,l,12789,4.887360275
F,1903,m,241,0.092098978
F,1903,n,17171,6.561956626
F,1903,o,379,0.144836152
F,1903,p,0,0
F,1903,q,0,0
F,1903,r,3294,1.258813414
F,1903,s,8899,3.400783415
F,1903,t,6589,2.518008981
F,1903,u,260,0.099359893
F,1903,v,0,0
F,1903,w,0,0
F,1903,x,0,0
F,1903,y,25811,9.863762301
F,1903,z,505,0.192987484
F,1904,a,80201,29.15732032
F,1904,b,0,0
F,1904,c,0,0
F,1904,d,4245,1.543282812
F,1904,e,94605,34.39393884
F,1904,f,0,0
F,1904,g,42,0.015269229
F,1904,h,14313,5.20353519
F,1904,i,431,0.156691376
F,1904,j,0,0
F,1904,k,11,0.003999084
F,1904,l,13286,4.83016618
F,1904,m,247,0.08979761
F,1904,n,18462,6.711916906
F,1904,o,400,0.145421231
F,1904,p,0,0
F,1904,q,0,0
F,1904,r,3451,1.254621668
F,1904,s,9945,3.61553535
F,1904,t,7021,2.552506153
F,1904,u,273,0.09924999
F,1904,v,0,0
F,1904,w,8,0.002908425
F,1904,x,0,0
F,1904,y,27502,9.998436722
F,1904,z,620,0.225402908
F,1905,a,84080,28.86678637
F,1905,b,0,0
F,1905,c,0,0
F,1905,d,4565,1.567279731
F,1905,e,100684,34.5673587
F,1905,f,0,0
F,1905,g,43,0.014762985
F,1905,h,15204,5.219916984
F,1905,i,440,0.151063107
F,1905,j,0,0
F,1905,k,0,0
F,1905,l,13794,4.735828392
F,1905,m,269,0.09235449
F,1905,n,19554,6.713381788
F,1905,o,420,0.144196602
F,1905,p,0,0
F,1905,q,0,0
F,1905,r,3763,1.291932887
F,1905,s,10360,3.55684951
F,1905,t,7495,2.573222691
F,1905,u,282,0.096817718
F,1905,v,0,0
F,1905,w,5,0.001716626
F,1905,x,7,0.002403277
F,1905,y,29674,10.18783324
F,1905,z,630,0.216294903
F,1906,a,83755,28.39604954
F,1906,b,0,0
F,1906,c,0,0
F,1906,d,4690,1.590083844
F,1906,e,101092,34.27393517
F,1906,f,0,0
F,1906,g,45,0.015256668
F,1906,h,15438,5.234054239
F,1906,i,439,0.148837272
F,1906,j,0,0
F,1906,k,0,0
F,1906,l,13762,4.665828115
F,1906,m,326,0.110526084
F,1906,n,21069,7.143171963
F,1906,o,414,0.140361346
F,1906,p,0,0
F,1906,q,0,0
F,1906,r,3829,1.298172929
F,1906,s,10724,3.635833506
F,1906,t,8015,2.717382091
F,1906,u,226,0.076622377
F,1906,v,0,0
F,1906,w,8,0.002712297
F,1906,x,6,0.002034222
F,1906,y,30460,10.32706906
F,1906,z,655,0.222069279
F,1907,a,90326,28.39190294
F,1907,b,0,0
F,1907,c,0,0
F,1907,d,5073,1.594581002
F,1907,e,108061,33.96649274
F,1907,f,0,0
F,1907,g,41,0.012887408
F,1907,h,16485,5.181681021
F,1907,i,516,0.162192745
F,1907,j,0,0
F,1907,k,0,0
F,1907,l,14554,4.574715534
F,1907,m,350,0.110014459
F,1907,n,23308,7.326334318
F,1907,o,512,0.160935437
F,1907,p,0,0
F,1907,q,0,0
F,1907,r,3993,1.255107814
F,1907,s,11830,3.718488716
F,1907,t,8860,2.784937449
F,1907,u,257,0.080782046
F,1907,v,0,0
F,1907,w,5,0.001571635
F,1907,x,0,0
F,1907,y,33235,10.4466587
F,1907,z,734,0.230716037
F,1908,a,93769,28.08716489
F,1908,b,0,0
F,1908,c,0,0
F,1908,d,5435,1.627976636
F,1908,e,112430,33.67680096
F,1908,f,0,0
F,1908,g,53,0.015875393
F,1908,h,17521,5.248165344
F,1908,i,539,0.161449753
F,1908,j,0,0
F,1908,k,5,0.001497679
F,1908,l,15243,4.565822974
F,1908,m,392,0.117418002
F,1908,n,24951,7.473715741
F,1908,o,515,0.154260896
F,1908,p,0,0
F,1908,q,0,0
F,1908,r,4286,1.283810094
F,1908,s,12830,3.843043283
F,1908,t,9252,2.771304478
F,1908,u,276,0.082671859
F,1908,v,0,0
F,1908,w,9,0.002695821
F,1908,x,8,0.002396286
F,1908,y,35544,10.64669762
F,1908,z,792,0.23723229
F,1909,a,96160,27.73299494
F,1909,b,0,0
F,1909,c,0,0
F,1909,d,5893,1.699568835
F,1909,e,116687,33.653078
F,1909,f,0,0
F,1909,g,44,0.012689806
F,1909,h,18285,5.273479747
F,1909,i,609,0.175638456
F,1909,j,0,0
F,1909,k,0,0
F,1909,l,15148,4.368754236
F,1909,m,386,0.11132421
F,1909,n,26991,7.784330973
F,1909,o,619,0.178522503
F,1909,p,6,0.001730428
F,1909,q,0,0
F,1909,r,4542,1.3099341
F,1909,s,13471,3.885099572
F,1909,t,9627,2.776471945
F,1909,u,281,0.081041718
F,1909,v,0,0
F,1909,w,5,0.001442023
F,1909,x,6,0.001730428
F,1909,y,37112,10.70327484
F,1909,z,863,0.248893247
F,1910,a,108376,27.3800531
F,1910,b,0,0
F,1910,c,5,0.001263197
F,1910,d,6696,1.691673762
F,1910,e,133493,33.72559819
F,1910,f,0,0
F,1910,g,57,0.014400449
F,1910,h,20398,5.153339515
F,1910,i,605,0.152846868
F,1910,j,0,0
F,1910,k,5,0.001263197
F,1910,l,17091,4.317860851
F,1910,m,439,0.110908719
F,1910,n,31324,7.913678152
F,1910,o,658,0.166236759
F,1910,p,7,0.001768476
F,1910,q,0,0
F,1910,r,5283,1.334694218
F,1910,s,15335,3.874225976
F,1910,t,10848,2.740632761
F,1910,u,271,0.068465291
F,1910,v,0,0
F,1910,w,0,0
F,1910,x,6,0.001515837
F,1910,y,43957,11.10527233
F,1910,z,967,0.244302349
F,1911,a,113112,27.08763393
F,1911,b,5,0.001197381
F,1911,c,0,0
F,1911,d,7467,1.788168917
F,1911,e,136413,32.66766927
F,1911,f,0,0
F,1911,g,83,0.019876526
F,1911,h,22019,5.273026836
F,1911,i,712,0.170507067
F,1911,j,0,0
F,1911,k,6,0.001436857
F,1911,l,17357,4.156588709
F,1911,m,540,0.129317158
F,1911,n,34951,8.369933282
F,1911,o,746,0.178649258
F,1911,p,0,0
F,1911,q,0,0
F,1911,r,5780,1.384172538
F,1911,s,17037,4.07995632
F,1911,t,12358,2.959447097
F,1911,u,258,0.061784864
F,1911,v,0,0
F,1911,w,0,0
F,1911,x,6,0.001436857
F,1911,y,47758,11.4369052
F,1911,z,970,0.232291931
F,1912,a,149128,26.77405397
F,1912,b,0,0
F,1912,c,0,0
F,1912,d,10425,1.871677436
F,1912,e,180366,32.3824434
F,1912,f,0,0
F,1912,g,89,0.015978829
F,1912,h,30130,5.40946198
F,1912,i,1019,0.182948615
F,1912,j,0,0
F,1912,k,10,0.001795374
F,1912,l,22503,4.040130201
F,1912,m,781,0.140218712
F,1912,n,47670,8.558548045
F,1912,o,995,0.178639717
F,1912,p,0,0
F,1912,q,0,0
F,1912,r,8198,1.471847637
F,1912,s,23047,4.137798548
F,1912,t,16604,2.981039055
F,1912,u,358,0.064274391
F,1912,v,0,0
F,1912,w,17,0.003052136
F,1912,x,13,0.002333986
F,1912,y,64333,11.55017981
F,1912,z,1301,0.233578163
F,1913,a,166027,26.6391654
F,1913,b,5,0.000802254
F,1913,c,0,0
F,1913,d,11791,1.891875413
F,1913,e,199136,31.95153102
F,1913,f,0,0
F,1913,g,122,0.019574998
F,1913,h,33608,5.392430573
F,1913,i,1026,0.164622523
F,1913,j,0,0
F,1913,k,0,0
F,1913,l,24275,3.894943233
F,1913,m,966,0.154995475
F,1913,n,55269,8.867955408
F,1913,o,1285,0.206179281
F,1913,p,8,0.001283606
F,1913,q,0,0
F,1913,r,9619,1.54337627
F,1913,s,26333,4.225150984
F,1913,t,19049,3.056427338
F,1913,u,333,0.053430117
F,1913,v,0,0
F,1913,w,22,0.003529918
F,1913,x,10,0.001604508
F,1913,y,72877,11.69317314
F,1913,z,1483,0.23794854
F,1914,a,199746,26.28340592
F,1914,b,0,0
F,1914,c,7,0.000921089
F,1914,d,13852,1.822703528
F,1914,e,241973,31.83980947
F,1914,f,0,0
F,1914,g,174,0.022895641
F,1914,h,40658,5.349948024
F,1914,i,1403,0.18461255
F,1914,j,0,0
F,1914,k,8,0.001052673
F,1914,l,28604,3.763832783
F,1914,m,1114,0.146584734
F,1914,n,69571,9.154440307
F,1914,o,1586,0.208692448
F,1914,p,0,0
F,1914,q,0,0
F,1914,r,11857,1.560193166
F,1914,s,33164,4.363856468
F,1914,t,23528,3.095911681
F,1914,u,437,0.05750227
F,1914,v,0,0
F,1914,w,29,0.00381594
F,1914,x,25,0.003289604
F,1914,y,90531,11.91244391
F,1914,z,1703,0.224087793
F,1915,a,257342,26.2041985
F,1915,b,0,0
F,1915,c,8,0.000814611
F,1915,d,18253,1.858636504
F,1915,e,307455,31.30702276
F,1915,f,0,0
F,1915,g,235,0.023929194
F,1915,h,53078,5.404739406
F,1915,i,1919,0.19540478
F,1915,j,0,0
F,1915,k,12,0.001221916
F,1915,l,36060,3.671858453
F,1915,m,1582,0.161089298
F,1915,n,92637,9.432888284
F,1915,o,2361,0.24041203
F,1915,p,9,0.000916437
F,1915,q,0,0
F,1915,r,15760,1.604783395
F,1915,s,44492,4.5304583
F,1915,t,30557,3.111508008
F,1915,u,536,0.054578928
F,1915,v,0,0
F,1915,w,31,0.003156617
F,1915,x,23,0.002342006
F,1915,y,117573,11.97203034
F,1915,z,2141,0.218010232
F,1916,a,272182,26.11176613
F,1916,b,0,0
F,1916,c,5,0.000479675
F,1916,d,18869,1.810196542
F,1916,e,324744,31.15429889
F,1916,f,0,0
F,1916,g,226,0.021681298
F,1916,h,56421,5.412745725
F,1916,i,2124,0.20376583
F,1916,j,0,0
F,1916,k,25,0.002398374
F,1916,l,37876,3.633632107
F,1916,m,1631,0.156469901
F,1916,n,99017,9.499190789
F,1916,o,2655,0.254707288
F,1916,p,7,0.000671545
F,1916,q,0,0
F,1916,r,16399,1.573237219
F,1916,s,47601,4.56659948
F,1916,t,33255,3.19031671
F,1916,u,584,0.05602601
F,1916,v,0,0
F,1916,w,37,0.003549593
F,1916,x,20,0.001918699
F,1916,y,126505,12.13625065
F,1916,z,2190,0.210097537
F,1917,a,279734,25.9252051
F,1917,b,11,0.001019459
F,1917,c,0,0
F,1917,d,19708,1.826499253
F,1917,e,335714,31.11332303
F,1917,f,0,0
F,1917,g,198,0.018350256
F,1917,h,57208,5.301926592
F,1917,i,2086,0.193326438
F,1917,j,0,0
F,1917,k,19,0.001760883
F,1917,l,38268,3.54660409
F,1917,m,1843,0.170805669
F,1917,n,103716,9.612197916
F,1917,o,2964,0.274697777
F,1917,p,8,0.000741424
F,1917,q,0,0
F,1917,r,16464,1.525851619
F,1917,s,50356,4.666896508
F,1917,t,34384,3.186642496
F,1917,u,576,0.053382564
F,1917,v,0,0
F,1917,w,21,0.001946239
F,1917,x,32,0.002965698
F,1917,y,133484,12.37103848
F,1917,z,2210,0.204818518
